mfgtxt,campno,mfgcampno,rclsubj,odate,odateend,rptno,rptqtr,involved,ttlremedied,ttlunreach,ttlremoved,submdate
"TIFFIN MOTORHOMES, INC.",11V416000,,EXHAUST PIPE/POSSIBLE FIRE,20110919,20110919,17,2015-03-01,149,134,0,0,20151028
FORD MOTOR COMPANY,11V445000,11C20,Bubbles in the Windshield/Decreased Visibility ,20140131,20140131,5,2015-01-01,4532,1012,163,22,20150430
FORD MOTOR COMPANY,11V445000,11C20,Bubbles in the Windshield/Decreased Visibility ,20140131,20140131,6,2015-02-01,4532,1037,161,22,20150730
"Mercedes-Benz USA, LLC.",11V493000,,TPMS Indicator/FMVSS 138,20140912,,3,2015-01-01,158,40,0,0,20150402
"Mercedes-Benz USA, LLC.",11V493000,,TPMS Indicator/FMVSS 138,20140912,,4,2015-02-01,158,41,0,0,20150720
"Mercedes-Benz USA, LLC.",11V493000,,TPMS Indicator/FMVSS 138,20140912,,5,2015-03-01,158,42,0,0,20151014
DOREL JUVENILE GROUP,12C002000,,MISSING SEPARATE BASE WITH LATCH/FMVSS 213,20120514,,12,2015-01-01,1737,50,0,0,20150409
DOREL JUVENILE GROUP,12C002000,,MISSING SEPARATE BASE WITH LATCH/FMVSS 213,20120514,,13,2015-02-01,1737,50,0,0,20150708
DOREL JUVENILE GROUP,12C002000,,MISSING SEPARATE BASE WITH LATCH/FMVSS 213,20120514,,14,2015-03-01,1737,50,0,0,20151006
DOREL JUVENILE GROUP,12C002000,,MISSING SEPARATE BASE WITH LATCH/FMVSS 213,20120514,,15,2015-04-01,1737,50,0,0,20160105
DOREL JUVENILE GROUP,12C002000,,MISSING SEPARATE BASE WITH LATCH/FMVSS 213,20120514,,16,2016-01-01,1737,50,0,0,20160414
DOREL JUVENILE GROUP,12C002000,,MISSING SEPARATE BASE WITH LATCH/FMVSS 213,20120514,,17,2016-02-01,1737,50,0,0,20160716
DOREL JUVENILE GROUP,12C002000,,MISSING SEPARATE BASE WITH LATCH/FMVSS 213,20120514,,18,2016-03-01,1737,50,0,0,20161019
DOREL JUVENILE GROUP,12C002000,,MISSING SEPARATE BASE WITH LATCH/FMVSS 213,20120514,,19,2016-04-01,1737,50,0,0,20170118
Valeo,12E029000,,Engine Cooling Fan Assemblies/Service Parts,20120822,,11,2015-01-01,585,191,67,8,20150423
Toyota Motor Engineering & Manufacturing,12E046000,,TRD Brake Kit Brake Tube,20121217,,10,2015-01-01,200000,348,0,0,20150429
GLAVAL BUS DIVISION,12V011000,,EVAPORATORS,20120114,,13,2015-01-01,1407,282,64,5,20150401
GLAVAL BUS DIVISION,12V011000,,EVAPORATORS,20120114,,14,2015-02-01,1407,282,0,69,20150706
GLAVAL BUS DIVISION,12V011000,,EVAPORATORS,20120114,,15,2015-03-01,1407,282,0,5,20151001
GLAVAL BUS DIVISION,12V384000,,BUS ROOF ESCAPE HATCH/FMVSS 217,20120817,,10,2015-01-01,90,8,0,0,20150401
GLAVAL BUS DIVISION,12V384000,,BUS ROOF ESCAPE HATCH/FMVSS 217,20120817,,11,2015-02-01,90,8,0,0,20150706
GLAVAL BUS DIVISION,12V384000,,BUS ROOF ESCAPE HATCH/FMVSS 217,20120817,,12,2015-03-01,90,7,82,1,20151001
GLAVAL BUS DIVISION,12V384000,,BUS ROOF ESCAPE HATCH/FMVSS 217,20120817,,13,2015-04-01,90,7,82,1,20160105
GLAVAL BUS DIVISION,12V384000,,BUS ROOF ESCAPE HATCH/FMVSS 217,20120817,,14,2016-01-01,90,7,82,1,20160413
GLAVAL BUS DIVISION,12V384000,,BUS ROOF ESCAPE HATCH/FMVSS 217,20120817,,15,2016-02-01,90,7,82,1,20160727
Kaufman Trailers,12V410000,,Wheel End Bearing Failure,20120914,,10,2015-01-01,302,127,175,0,20150325
SHOWHAULER TRUCKS INC.,12V421000,,Battery Separator,20130828,,6,2015-01-01,63,10,5,0,20150131
"FOREST RIVER, INC.",12V458000,,LPG Fuel Line ,20121023,,10,2015-01-01,1585,811,1,0,20150402
"FOREST RIVER, INC.",12V458000,,LPG Fuel Line ,20121023,,11,2015-02-01,1585,811,1,0,20150713
"FOREST RIVER, INC.",12V458000,,LPG Fuel Line ,20121023,,12,2015-03-01,1585,812,1,0,20151001
"FOREST RIVER, INC.",12V458000,,LPG Fuel Line ,20121023,,13,2015-04-01,1585,813,1,0,20160112
"FOREST RIVER, INC.",12V458000,,LPG Fuel Line ,20121023,,14,2016-01-01,1585,943,1,0,20160409
"FOREST RIVER, INC.",12V458000,,LPG Fuel Line ,20121023,,15,2016-02-01,1585,945,1,0,20160725
NEW FLYER INDUSTRIES LTD,12V466000,R12-025,Failure of the engine turbocharger,,,6,2015-01-01,163,130,0,0,20150513
ASTON MARTIN,12V480000,RA-19-0015,Tire Pressure Monitoring System/FMVSS 138,20130212,,9,2015-01-01,169,146,0,0,20150414
General Motors LLC,12V484000,12212,Front Turn Signal Bulbs/FMVSS 108,20140908,,3,2015-01-01,120426,80958,1611,0,20150415
General Motors LLC,12V484000,12212,Front Turn Signal Bulbs/FMVSS 108,20140908,,4,2015-02-01,120426,92190,1562,0,20150722
General Motors LLC,12V484000,12212,Front Turn Signal Bulbs/FMVSS 108,20140908,,5,2015-03-01,120426,98161,657,0,20151026
General Motors LLC,12V484000,12212,Front Turn Signal Bulbs/FMVSS 108,20140908,,6,2015-04-01,120426,101934,372,0,20160128
General Motors LLC,12V484000,12212,Front Turn Signal Bulbs/FMVSS 108,20140908,,7,2016-01-01,120426,104382,258,0,20160419
"MASERATI NORTH AMERICA, INC.",12V489000,202,Tire Pressure Monitoring System Malfunction,20121031,,10,2015-01-01,485,461,5,0,20170112
"MASERATI NORTH AMERICA, INC.",12V489000,202,Tire Pressure Monitoring System Malfunction,20121031,,11,2015-02-01,485,461,5,0,20170413
Toyota Motor Engineering & Manufacturing,12V491000,,Power Window Master Switch may Melt,20121105,,10,2015-01-01,2519424,1687785,39077,0,20150504
"Mercedes-Benz USA, LLC.",12V493000,,Parking Lamps Too Bright/FMVSS 108,20140912,,3,2015-01-01,218,106,0,0,20150402
"Mercedes-Benz USA, LLC.",12V493000,,Parking Lamps Too Bright/FMVSS 108,20140912,,4,2015-02-01,218,126,0,0,20150720
"Mercedes-Benz USA, LLC.",12V493000,,Parking Lamps Too Bright/FMVSS 108,20140912,,5,2015-03-01,218,147,0,0,20151014
"Tiffin Motorhomes, Inc.",12V526000,,Exhaust Pipe may Overheat Floor,20121114,,10,2015-01-01,847,714,0,0,20150430
"Tiffin Motorhomes, Inc.",12V526000,,Exhaust Pipe may Overheat Floor,20121114,,11,2015-02-01,847,715,0,0,20150731
"Tiffin Motorhomes, Inc.",12V526000,,Exhaust Pipe may Overheat Floor,20121114,,12,2015-03-01,847,720,0,0,20151028
CHRYSLER GROUP LLC,12V527000,M35,Inadvertent Air Bag Deployment,20130913,20130913,7,2015-01-01,744822,205425,81012,4704,20150429
CHRYSLER GROUP LLC,12V527000,M35,Inadvertent Air Bag Deployment,20130913,20130913,8,2015-02-01,744822,223229,80108,4685,20150720
"KTM NORTH AMERICA, INC",12V531000,,Fuel Hoses may Crack and Leak,20121211,,10,2015-01-01,1181,713,0,0,20150506
"KTM NORTH AMERICA, INC",12V531000,,Fuel Hoses may Crack and Leak,20121211,,11,2015-02-01,1181,718,0,0,20150820
Medtec Ambulance Corporation,12V554000,74B238M,Bench Seat Top may Collapse,20130108,,10,2015-01-01,977,919,58,0,20150416
Medtec Ambulance Corporation,12V554000,74B238M,Bench Seat Top may Collapse,20130108,,11,2015-02-01,977,919,58,0,20150721
Medtec Ambulance Corporation,12V554000,74B238M,Bench Seat Top may Collapse,20130108,,12,2015-03-01,977,919,58,0,20151020
"HINO MOTORS SALES U.S.A., INC.",12V555000,A8310,Battery B+ Short Circuit/Possible Fire,20130117,,9,2015-01-01,35142,25404,0,0,20160817
Bombardier Recreational Products Inc.,12V581000,,Fuel Canister Vent Hose may Leak Vapors,20121226,,10,2015-01-01,9600,3904,851,120,20150512
Bombardier Recreational Products Inc.,12V581000,,Fuel Canister Vent Hose may Leak Vapors,20121226,,11,2015-02-01,9600,4342,1194,2,20150714
Bombardier Recreational Products Inc.,12V581000,,Fuel Canister Vent Hose may Leak Vapors,20121226,,12,2015-03-01,9600,4633,1194,132,20151006
Bombardier Recreational Products Inc.,12V581000,,Fuel Canister Vent Hose may Leak Vapors,20121226,,13,2015-04-01,9600,4768,1194,132,20160114
Bombardier Recreational Products Inc.,12V582000,,Fuel Tank Cap may not Seal Properly,20121221,20121221,10,2015-01-01,33700,23628,0,150,20150512
Bombardier Recreational Products Inc.,12V582000,,Fuel Tank Cap may not Seal Properly,20121221,20121221,11,2015-02-01,33700,24051,2521,330,20150714
Bombardier Recreational Products Inc.,12V582000,,Fuel Tank Cap may not Seal Properly,20121221,20121221,12,2015-03-01,33700,24388,2521,339,20151006
Bombardier Recreational Products Inc.,12V582000,,Fuel Tank Cap may not Seal Properly,20121221,20121221,13,2015-04-01,33700,24533,2521,340,20160114
"Recaro Child Safety, LLC",13C001000,,FMVSS 213/Head Excursion,20140926,,3,2015-01-01,39181,11181,20,0,20150507
"Recaro Child Safety, LLC",13C001000,,FMVSS 213/Head Excursion,20140926,,4,2015-02-01,39181,11183,23,0,20150720
"Recaro Child Safety, LLC",13C001000,,FMVSS 213/Head Excursion,20140926,,5,2015-03-01,39181,11183,23,0,20151001
"Recaro Child Safety, LLC",13C001000,,FMVSS 213/Head Excursion,20140926,,6,2015-04-01,39181,11183,23,0,20160229
"Combi USA, Inc.",13C002000,,Child Restraint Webbing/FMVSS 213,20140127,,5,2015-01-01,33139,3920,17665,0,20150406
"Combi USA, Inc.",13C002000,,Child Restraint Webbing/FMVSS 213,20140127,,6,2015-02-01,33139,4016,17569,0,20150701
"Orbit Baby, Inc.",13C003000,,Child Seat Base/StrongArm Knob/Detaches or Spins,20131122,,6,2015-01-01,2962,1434,29,0,20150505
"Schneider Electric USA, Inc.",13E018000,,Electric Vehicle Charging Station/Overheating,20130405,,7,2015-01-01,763,288,0,0,20150422
"Schneider Electric USA, Inc.",13E018000,,Electric Vehicle Charging Station/Overheating,20130405,,8,2015-02-01,763,579,0,0,20150710
C. E. WHITE COMPANY,13E020000,,Flip Seat/Possible Toe or foot pinch,20130510,,8,2015-01-01,925,137,0,0,20150408
C. E. WHITE COMPANY,13E020000,,Flip Seat/Possible Toe or foot pinch,20130510,,9,2015-02-01,925,138,0,0,20150716
C. E. WHITE COMPANY,13E020000,,Flip Seat/Possible Toe or foot pinch,20130510,,10,2015-03-01,925,157,0,0,20151005
Ohlins Racing AB,13E034000,,"Steering Damper Bracket may Fail, Locking Steering",20130702,,7,2015-01-01,801,117,0,0,20150330
Ohlins Racing AB,13E034000,,"Steering Damper Bracket may Fail, Locking Steering",20130702,,8,2015-02-01,801,133,0,0,20150701
Ohlins Racing AB,13E034000,,"Steering Damper Bracket may Fail, Locking Steering",20130702,,9,2015-03-01,801,133,0,0,20150903
Ohlins Racing AB,13E034000,,"Steering Damper Bracket may Fail, Locking Steering",20130702,,10,2015-04-01,801,133,0,0,20160202
"Sportworks Northwest, Inc.",13E042000,,Parts may Fall from Bicycle Rack,20130906,,6,2015-01-01,444,434,0,10,20150428
"A&M Systems, Inc.",13E045000,,Electric Door Actuator May Lead to Fire,20130801,20130801,7,2015-01-01,5530,1226,56,14,20150420
"Tegol, Inc.",13E047000,,Helmets/FMVSS 218,20130918,,6,2015-01-01,23210,756,589,0,20150430
"Polaris Industries, Inc.",13E048000,,Passenger Backrest Attachment Can Fail,20140521,,4,2015-01-01,13709,1503,0,0,20150429
"Polaris Industries, Inc.",13E048000,,Passenger Backrest Attachment Can Fail,20140521,,5,2015-02-01,13709,1670,0,0,20150722
"Polaris Industries, Inc.",13E048000,,Passenger Backrest Attachment Can Fail,20140521,,6,2015-03-01,13709,1828,0,0,20151028
Trans/Air Manufacturing Corp.,13E049000,13-002,Compressor Mount Kit may cause Short Circuit,20131007,,4,2015-01-01,3427,606,0,0,20150423
Trans/Air Manufacturing Corp.,13E049000,13-002,Compressor Mount Kit may cause Short Circuit,20131007,,5,2015-02-01,3427,615,0,0,20150728
"Sure Power, Inc.",13E050000,,Battery Equalizers/DC-DC Converters-Possible Fire,20131115,20131115,6,2015-01-01,10989,1360,2257,0,20150420
Maxzone Auto Parts Corporation,13E051000,,Moisture in Replacement Headlamps/FMVSS 108,20140214,,5,2015-01-01,2286,56,1644,0,20150928
Maxzone Auto Parts Corporation,13E051000,,Moisture in Replacement Headlamps/FMVSS 108,20140214,,6,2015-02-01,2286,56,1644,0,20150930
ILJIN USA Corporation,13E055000,,Wheel Bearing Speed Sensor Wires Reversed,20131209,,6,2015-01-01,14794,14190,0,0,20150428
"Wheel Pros, LLC",13E056000,,Wheels Susceptible to Cracking,20131203,,6,2015-01-01,14383,4580,74,0,20150430
Carlisle Transportation Products,13E059000,,Broken Wheel Lip may cause Rapid Tire Deflation ,20140224,,5,2015-01-01,2287,1628,0,0,20150521
Carlisle Transportation Products,13E059000,,Broken Wheel Lip may cause Rapid Tire Deflation ,20140224,,6,2015-02-01,2287,1636,0,0,20150817
Indiana Mills and Manufacturing Inc.,13E061000,,Seat Belt Assembly may be difficult to unfasten,20131119,,4,2015-01-01,74000,72318,0,0,20150407
Indiana Mills and Manufacturing Inc.,13E061000,,Seat Belt Assembly may be difficult to unfasten,20131119,,5,2015-02-01,74000,73057,0,0,20150804
"SK Innovation Co., Ltd.",13E062000,,Diesel Particulate Filter may Melt,20140103,,5,2015-01-01,327,290,0,0,20150415
"SK Innovation Co., Ltd.",13E062000,,Diesel Particulate Filter may Melt,20140103,,6,2015-02-01,327,291,0,0,20150721
"Airtex Products, LP",13E065000,,Fuel Pump may Leak Fuel,,,6,2015-01-01,397,249,0,0,20150428
Extang Corporation,13E066000,,Encore Tonneau Covers may Separate,20140113,,5,2015-01-01,14204,2807,8726,4,20150430
Extang Corporation,13E066000,,Encore Tonneau Covers may Separate,20140113,,6,2015-02-01,14204,2927,8726,4,20150730
Eaton Corporation,13E068000,,Hybrid Automated Transmission Software,20140116,,6,2015-01-01,496,464,1,2,20150428
"Omix Ada, Inc",13E069000,CBRK 1-13,Aftermarket Replacement Brake Hoses may Rupture,20140131,,5,2015-01-01,4301,1496,31,276,20150514
"Omix Ada, Inc",13E069000,CBRK 1-13,Aftermarket Replacement Brake Hoses may Rupture,20140131,,6,2015-02-01,4301,1503,31,276,20150714
Genera Corporation,13E070000,,Aftermarket Tail Lamps (Circuits Switched),20140123,20140123,5,2015-01-01,409,216,0,0,20150615
Genera Corporation,13E070000,,Aftermarket Tail Lamps (Circuits Switched),20140123,20140123,6,2015-02-01,409,216,0,0,20151210
Genera Corporation,13E070000,,Aftermarket Tail Lamps (Circuits Switched),20140123,20140123,7,2015-03-01,409,216,0,0,20151210
Genera Corporation,13E070000,,Aftermarket Tail Lamps (Circuits Switched),20140123,20140123,8,2015-04-01,409,216,0,0,20160127
"Meritor, Inc.",13E071000,C14AB,Misaligned Lock Washer and Pin,20140128,,5,2015-01-01,100,76,0,0,20150616
"Meritor, Inc.",13E071000,C14AB,Misaligned Lock Washer and Pin,20140128,,6,2015-02-01,100,80,0,0,20150821
"Airstream, Inc.",13E072000,,Accessory Bike Rack,20140117,,5,2015-01-01,623,620,0,0,20150406
"Airstream, Inc.",13E072000,,Accessory Bike Rack,20140117,,6,2015-02-01,623,620,0,0,20150701
Federal Corporation,13T003000,,Tire Tread Shoulder Chunking,20130430,,8,2015-01-01,8513,451,0,0,20150414
Federal Corporation,13T003000,,Tire Tread Shoulder Chunking,20130430,,9,2015-02-01,8513,451,0,0,20150719
Federal Corporation,13T003000,,Tire Tread Shoulder Chunking,20130430,,10,2015-03-01,8513,451,0,0,20151015
Federal Corporation,13T003000,,Tire Tread Shoulder Chunking,20130430,,11,2015-04-01,8513,451,0,0,20160118
Federal Corporation,13T003000,,Tire Tread Shoulder Chunking,20130430,,12,2016-01-01,8513,451,0,0,20160503
Federal Corporation,13T003000,,Tire Tread Shoulder Chunking,20130430,,13,2016-02-01,8513,464,0,0,20160714
Federal Corporation,13T003000,,Tire Tread Shoulder Chunking,20130430,,14,2016-03-01,8513,464,0,0,20161017
Federal Corporation,13T003000,,Tire Tread Shoulder Chunking,20130430,,15,2016-04-01,8513,464,0,0,20170213
Hankook Tire America Corp.,13T008000,,Tread Separation,20131122,,6,2015-01-01,1495,379,0,379,20150408
Hankook Tire America Corp.,13T008000,,Tread Separation,20131122,,7,2015-02-01,1495,379,0,379,20150408
Yokohama Tire Corporation,13T009000,,Missing Tire Information/FMVSS 119,20131125,,6,2015-01-01,1192,303,345,0,20150415
"Michelin North America, Inc.",13T012000,,Possible Tread Separation,20140106,,5,2015-01-01,1200000,253373,0,183919,20150430
"Michelin North America, Inc.",13T012000,,Possible Tread Separation,20140106,,6,2015-02-01,1200000,258481,0,183919,20150731
"ARBOC Specialty Vehicles, LLC",13V004000,,Seat Reinforcement Plates may be Missing,20130114,,9,2015-01-01,21,18,0,0,20150406
"ARBOC Specialty Vehicles, LLC",13V004000,,Seat Reinforcement Plates may be Missing,20130114,,10,2015-02-01,21,18,0,0,20150706
Daimler Trucks North America,13V022000,FL-638,Headlights & Tailights may go out,20130321,,8,2015-01-01,143,92,0,0,20150430
General Motors LLC,13V023000,12261,Driver Side Frontal Air bag may not Deploy,20130213,,9,2015-01-01,4167,3602,25,0,20150505
Chrysler Group LLC,13V038000,N08,Rear Axle Pinion Nut May Loosen at Differential,20131107,20131107,5,2015-01-01,278229,193623,7931,192,20150108
Chrysler Group LLC,13V038000,N08,Rear Axle Pinion Nut May Loosen at Differential,20131107,20131107,6,2015-02-01,278229,207642,7630,189,20150429
Chrysler Group LLC,13V040000,N13,Inadvertent Airbag Deployment,20140326,,6,2015-01-01,3644,856,586,1,20150429
Chrysler Group LLC,13V040000,N13,Inadvertent Airbag Deployment,20140326,,7,2015-02-01,3644,930,581,1,20150720
"Prevost Cars, Inc.",13V055000,SR13-08,Drag Link Collar Turnbuckle Fracture,20130418,,8,2015-01-01,6120,1023,0,0,20161024
Pierce Manufacturing,13V062000,74B237,Doors may open Unexpectedly ,20130501,,8,2015-01-01,1275,1230,0,38,20150416
Pierce Manufacturing,13V062000,74B237,Doors may open Unexpectedly ,20130501,,9,2015-02-01,1275,1233,0,38,20150721
Pierce Manufacturing,13V062000,74B237,Doors may open Unexpectedly ,20130501,,10,2015-03-01,1275,1234,0,38,20151014
Daimler Trucks North America,13V073000,FL-640,Cracks in Fuel Tank may Leak Gasoline,20131216,,8,2015-01-01,3207,2297,0,0,20150430
Daimler Trucks North America,13V074000,FL-639,Smartplex Switch Hub Module,20130429,,8,2015-01-01,161,73,0,0,20150430
Daimler Trucks North America,13V099000,FL-641,Daytime Running Lights may not Reactivate,20150506,20150506,1,2015-02-01,52376,13462,0,12,20151030
Daimler Trucks North America,13V099000,FL-641,Daytime Running Lights may not Reactivate,20150506,20150506,2,2015-03-01,52376,28392,0,12,20151030
Daimler Trucks North America,13V099000,FL-641,Daytime Running Lights may not Reactivate,20150506,20150506,3,2015-04-01,52376,34057,0,15,20160131
Daimler Trucks North America,13V099000,FL-641,Daytime Running Lights may not Reactivate,20150506,20150506,4,2016-01-01,52376,38045,0,17,20160502
Daimler Trucks North America,13V099000,FL-641,Daytime Running Lights may not Reactivate,20150506,20150506,5,2016-02-01,52376,40827,0,17,20160730
Daimler Trucks North America,13V099000,FL-641,Daytime Running Lights may not Reactivate,20150506,20150506,6,2016-03-01,52376,42339,0,17,20161031
Jerr-Dan Corporation,13V117000,,Brake Hose may Chafe and Leak,20130726,,6,2015-01-01,30,4,1,0,20150401
Jerr-Dan Corporation,13V117000,,Brake Hose may Chafe and Leak,20130726,,7,2015-02-01,30,4,3,0,20150721
Jerr-Dan Corporation,13V117000,,Brake Hose may Chafe and Leak,20130726,,8,2015-03-01,30,4,3,0,20151007
Jerr-Dan Corporation,13V117000,,Brake Hose may Chafe and Leak,20130726,,9,2015-04-01,30,4,3,0,20160212
Daimler Trucks North America,13V127000,FL-642,Parking Brake Reminder Display Incorrect ,20130606,,8,2015-01-01,50,40,0,1,20150430
"SEAGRAVE FIRE APPARATUS, LLC",13V140000,,Leaking Brake Pressure may Lead to Wheel End Fire,20130423,,8,2015-01-01,10,8,2,0,20150501
"SEAGRAVE FIRE APPARATUS, LLC",13V140000,,Leaking Brake Pressure may Lead to Wheel End Fire,20130423,,9,2015-02-01,10,8,2,0,20151029
"SEAGRAVE FIRE APPARATUS, LLC",13V140000,,Leaking Brake Pressure may Lead to Wheel End Fire,20130423,,10,2015-03-01,10,8,2,0,20160802
"Prevost Cars, Inc.",13V150000,SR13-26,Emergency Window Decal Instructions are Inaccurate,20130830,,7,2015-01-01,655,253,0,0,20150514
"Prevost Cars, Inc.",13V150000,SR13-26,Emergency Window Decal Instructions are Inaccurate,20130830,,8,2015-02-01,655,331,0,0,20161024
Triple E Recreational Vehicles,13V156000,CA#7719-1,Licence Plate Lighting/FMVSS 108,20130628,20130628,8,2015-01-01,410,164,0,0,20150409
Volvo Bus Corporation,13V171000,SR13-80,Throttle Limp-Mode Software Fault,,,8,2015-01-01,285,256,0,0,20161024
General Motors LLC,13V173000,13136,Hybrid Charging System/Possible Fire or Stall,20130611,,8,2015-01-01,42904,40262,136,0,20150505
"Tiffin Motorhomes, Inc.",13V178000,,Unexpected Unfurling of the Awning,20130624,,8,2015-01-01,293,173,0,0,20150430
"Tiffin Motorhomes, Inc.",13V178000,,Unexpected Unfurling of the Awning,20130624,,9,2015-02-01,293,183,0,0,20150731
